model,hownew,capacity,color,channelfrom,network,guarantee,repaired,price
6,b90,b64,b5,b1,b10,0,0,3450
6P,b90,b16,b5,b3,b12,0,0,3600
6,b95,b64,b5,b3,b12,0,0,3660
6,b90,b64,b4,b1,b10,0,0,3560
6P,b80,b16,b5,b2,b6,0,0,3500
5,b80,b16,b3,b1,b5,0,0,1100
5S,b80,b16,b5,b1,b9,0,0,1600
5,b90,b16,b3,b1,b5,0,0,1150
6P,b80,b64,b1,b1,b10,0,0,3690
5,b80,b16,b2,b1,b5,0,0,1100
6,b80,b16,b4,b3,b12,0,0,3220
6P,b80,b16,b5,b3,b12,0,0,3550
6,b80,b16,b4,b3,b12,0,0,3220
6,b90,b16,b4,b3,b6,0,0,3220
6SP,b95,b16,b4,b1,b12,0,0,4750
6,b95,b64,b5,b1,b10,0,0,3510
4S,b90,b64,b3,b1,b5,0,0,780
5C,b90,b32,b7,b1,b9,0,0,1230
5C,b90,b32,b7,b1,b9,0,0,1230
5,b90,b16,b3,b1,b5,0,0,1150
6P,b90,b64,b1,b1,b10,0,0,3750
6,b90,b64,b5,b1,b10,0,0,3450
6P,b90,b16,b5,b3,b12,0,0,3600
5,b90,b16,b3,b1,b5,0,0,1150
5,b90,b16,b3,b1,b5,0,0,1150
5,b80,b16,b2,b1,b5,0,0,1100
5,b80,b16,b2,b1,b5,0,0,1100
6,b80,b16,b5,b3,b12,0,0,3110
5C,b80,b16,b7,b1,b9,0,0,1130
6P,b90,b64,b1,b1,b10,0,0,3750
6P,b80,b64,b1,b1,b10,0,0,3690
6,b80,b16,b4,b1,b10,0,0,3070
5S,b90,b16,b5,b3,b8,0,0,1800
6P,b80,b16,b4,b2,b8,0,0,3550
6P,b90,b16,b1,b1,b12,0,0,3500
6P,b80,b16,b4,b3,b12,0,0,3600
6SP,b90,b16,b1,b1,b12,0,0,4530
6P,b80,b16,b4,b3,b12,0,0,3600
5C,b90,b16,b8,b1,b9,0,0,1180
5,b80,b16,b3,b1,b5,0,0,1100
6P,b80,b64,b1,b1,b10,0,0,3690
6,b80,b64,b5,b1,b10,0,0,3400
5S,b80,b64,b1,b1,b9,0,0,1730
6P,b85,b64,b4,b3,b12,1,0,4450
6,b90,b16,b4,b3,b12,1,0,3099
4S,b80,b8,b3,b3,b5,1,1,539
5,b75,b16,b3,b3,b5,1,1,799
6SP,b90,b16,b8,b3,b12,0,0,4499
6S,b90,b16,b4,b3,b12,1,0,4099
6P,b99,b16,b4,b3,b12,1,0,3699
5S,b85,b16,b4,b3,b9,0,0,1739
5S,b90,b16,b3,b3,b9,1,0,1899
6P,b90,b64,b1,b3,b12,1,0,3850
6SP,b95,b16,b4,b1,b12,1,0,4799
6SP,b95,b16,b4,b1,b12,1,0,4799
6SP,b95,b16,b4,b1,b12,1,0,4699
6SP,b95,b16,b2,b1,b12,1,0,4399
6SP,b95,b16,b8,b3,b12,1,0,4759
6SP,b95,b16,b8,b3,b12,1,0,4759
6SP,b95,b16,b4,b3,b12,1,0,4699
6SP,b95,b16,b2,b1,b12,1,0,4399
6P,b95,b16,b1,b1,b12,1,0,3480
6,b50,b64,b5,b3,b12,1,1,2899
6SP,b90,b16,b8,b3,b12,1,0,4499
6P,b75,b16,b4,b3,b12,1,0,3299
5S,b80,b16,b3,b3,b9,1,0,1499
5S,b75,b16,b4,b3,b5,1,1,1299
5S,b75,b16,b4,b3,b9,1,0,1499
5S,b80,b64,b3,b3,b5,0,1,1299
5S,b75,b16,b4,b3,b9,1,1,1499
5S,b80,b16,b3,b3,b5,0,1,1299
6,b90,b16,b1,b3,b12,1,0,3099
6,b90,b16,b5,b3,b12,0,0,3250
6,b90,b16,b4,b3,b12,0,0,3299
6,b95,b16,b4,b3,b12,0,0,3399
 5S,b80,b16,b4,b3,b9,0,1,1699
6,b85,b16,b1,b2,b9,0,0,2899
6,b95,b16,b4,b3,b12,1,0,3399
6,b80,b64,b1,b3,b12,0,0,3499
5S,b85,b16,b3,b3,b12,1,0,1599
6,b95,b16,b4,b4,b12,1,0,3459
6,b85,b16,b4,b3,b12,1,0,3349
6,b90,b16,b4,b3,b12,1,0,3299
6SP,b95,b16,b2,b3,b12,1,0,4799
6,b85,b16,b4,b3,b12,0,0,3299
6SP,b90,b16,b5,b3,b12,1,0,4899
6S,b90,b16,b2,b1,b12,1,0,3899
6P,b80,b16,b4,b3,b12,1,0,3299
6P,b90,b16,b5,b3,b12,0,0,3599
6P,b85,b16,b4,b2,b9,1,1,3399
6,b80,b64,b1,b3,b12,1,1,3399
6,b95,b16,b4,b3,b12,1,0,3399
5S,b70,b16,b2,b3,b5,0,0,1399
6,b90,b16,b4,b3,b12,0,0,3299
6S,b90,b16,b5,b3,b12,1,0,4099
5S,b60,b16,b4,b3,b9,0,1,1599
6,b16,b80,b4,b3,b12,1,0,3399
6,b90,b16,b1,b1,b12,0,0,2950
5S,b70,b16,b4,b2,b9,0,1,1599
5S,b60,b16,b4,b3,b5,1,0,1599
5S,b80,b16,b4,b1,b9,0,0,1599
6,b90,b16,b4,b3,b12,1,0,3499
6,b95,b16,b4,b3,b12,1,0,3499
5S,b60,b16,b4,b1,b9,0,1,1699
